room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price
Entire home/apt,14,7,24,4.5,5,2,178
Entire home/apt,4,29,11,4.5,12,5,146
Entire home/apt,4,45,5,5,10,6,178
Entire home/apt,12,15,0,0,4,1,161
Entire home/apt,4,1,3,5,8,4,178
Entire home/apt,12,21,2,0,6,3,167
Entire home/apt,12,13,18,5,12,4,178
Entire home/apt,12,16,0,0,10,4,178
Entire home/apt,12,20,66,5,4,2,162
Entire home/apt,15,2,1,0,8,3,178
Shared room,8,3,29,4.5,4,1,19
Shared room,12,5,16,5,1,1,14
Shared room,6,1,41,4.5,4,1,22
Shared room,2,29,3,4,1,1,18
Shared room,15,4,0,0,2,1,40
Shared room,2,34,4,5,3,1,22
Shared room,12,14,0,0,2,1,23
Shared room,12,12,14,4.5,8,1,26
Shared room,10,22,7,4,2,1,22
Shared room,4,19,3,4.5,3,1,30
Shared room,4,33,17,4,4,1,15
Shared room,2,42,5,4.5,8,1,24
Shared room,2,3,14,5,1,1,22
Shared room,4,37,44,4.5,12,1,22
Shared room,12,18,40,4.5,8,1,18
Shared room,2,7,25,4.5,16,1,21
Shared room,10,29,12,4.5,2,1,13
Shared room,12,20,24,4.5,4,1,23
Shared room,15,3,61,4.5,4,1,18
Shared room,7,6,0,0,1,1,18
Shared room,15,4,0,0,1,1,25
Shared room,2,42,13,4.5,2,1,29
Shared room,2,19,5,4.5,1,1,18
Shared room,1,19,24,4.5,2,1,22
Shared room,12,5,0,0,1,1,14
Shared room,2,21,0,0,1,1,15
Shared room,2,30,37,4,4,1,23
Shared room,6,7,8,5,2,1,14
Shared room,15,1,23,4.5,1,1,12
Shared room,15,4,0,0,1,1,25
Entire home/apt,15,1,1,0,10,3,150
Entire home/apt,1,19,0,0,8,4,417
Entire home/apt,4,42,2,0,6,2,214
Entire home/apt,4,28,0,0,8,4,203
Entire home/apt,12,20,2,0,5,1,143
Entire home/apt,2,36,0,0,4,2,71
Entire home/apt,2,29,0,0,4,1,48
Entire home/apt,14,2,0,0,8,2,238
Entire home/apt,4,28,41,5,8,4,155
Entire home/apt,10,75,11,5,10,4,161
Entire home/apt,7,2,32,5,8,4,155
Entire home/apt,9,5,1,0,4,2,167
Entire home/apt,14,8,44,5,8,2,178
Entire home/apt,3,53,12,5,6,3,161
Entire home/apt,2,44,5,5,8,4,178
Entire home/apt,15,1,33,4.5,13,6,178
Entire home/apt,14,8,22,5,3,2,155
Entire home/apt,12,18,13,5,6,3,178
Entire home/apt,15,1,59,4.5,6,1,178
Entire home/apt,12,6,0,0,7,3,178
Entire home/apt,4,44,8,4.5,7,4,178
Entire home/apt,5,7,7,5,6,3,173
Entire home/apt,12,13,4,5,6,3,178
Entire home/apt,14,9,63,5,6,3,178
Entire home/apt,15,2,13,5,6,2,167
Entire home/apt,13,1,14,5,4,2,155
Entire home/apt,7,3,0,0,8,3,155
Entire home/apt,4,42,61,5,6,3,167
Entire home/apt,13,3,124,4.5,5,3,167
Entire home/apt,4,34,18,5,4,0,163
Entire home/apt,13,2,156,5,2,0,178
Entire home/apt,4,43,16,5,4,2,178
Entire home/apt,2,42,1,0,6,2,161
Entire home/apt,14,4,14,5,2,0,178
Entire home/apt,12,20,10,5,4,2,167
Entire home/apt,12,15,2,0,6,3,177
Entire home/apt,9,7,3,4.5,6,3,125
Entire home/apt,15,4,1,0,4,1,125
Entire home/apt,3,40,0,0,5,5,125
Entire home/apt,12,17,53,4.5,9,5,143
Entire home/apt,12,17,0,0,3,1,133
Entire home/apt,9,8,4,5,5,2,131
Entire home/apt,5,13,0,0,6,2,143
Entire home/apt,12,14,0,0,4,0,131
Entire home/apt,14,9,2,0,4,2,131
Entire home/apt,10,40,1,0,14,5,143
Entire home/apt,12,18,0,0,4,1,143
Entire home/apt,5,11,0,0,4,1,131
Entire home/apt,7,15,41,5,6,3,143
Entire home/apt,12,18,0,0,2,1,131
Entire home/apt,11,32,1,0,6,2,143
Entire home/apt,14,1,2,0,4,1,143
Entire home/apt,4,22,0,0,6,3,129
Entire home/apt,11,58,0,0,4,2,131
Entire home/apt,2,11,1,0,5,2,131
Entire home/apt,12,20,15,4.5,8,2,130
Entire home/apt,4,47,21,4.5,5,3,143
Entire home/apt,1,8,1,0,5,2,131
Entire home/apt,2,49,38,4.5,7,3,143
Entire home/apt,13,2,15,4.5,6,2,131
Entire home/apt,14,7,2,0,6,1,143
Entire home/apt,15,5,0,0,7,2,143
Entire home/apt,12,19,24,4.5,6,2,143
Entire home/apt,12,20,0,0,5,2,143
Entire home/apt,6,29,2,0,6,2,143
Entire home/apt,5,13,0,0,7,2,143
Entire home/apt,12,15,0,0,3,0,143
Entire home/apt,5,12,14,5,5,1,125
Entire home/apt,15,4,0,0,4,1,131
Entire home/apt,1,18,0,0,2,1,137
Entire home/apt,14,8,58,5,6,4,143
Entire home/apt,12,15,0,0,3,0,131
Entire home/apt,12,11,4,4,9,5,131
Entire home/apt,12,20,0,0,4,1,143
Entire home/apt,15,2,0,0,4,1,131
